symbol,exchange,tv_spec,name,screen_latest_adj_close
HYLN,AMEX,AMEX:HYLN,Hyliion Holdings Corp. Class A Common Stock,7.400000095367432
APPS,NASDAQ,NASDAQ:APPS,Digital Turbine Inc. Common Stock,9.760000228881836
ARM,NASDAQ,NASDAQ:ARM,Arm Holdings plc American Depositary Shares,380.80999755859375
ALAB,NASDAQ,NASDAQ:ALAB,Astera Labs Inc. Common Stock,367.1499938964844
VSH,NYSE,NYSE:VSH,Vishay Intertechnology Inc. Common Stock,59.380001068115234
UMAC,AMEX,AMEX:UMAC,Unusual Machines Inc. Common Stock,24.43000030517578
MRVL,NASDAQ,NASDAQ:MRVL,Marvell Technology Inc. Common Stock,279.70001220703125
VSXY,NYSE,NYSE:VSXY,Victorias Secret & Co. Common Stock ,78.87999725341797
BRUN,NASDAQ,NASDAQ:BRUN,Boost Run Inc. Class A Common Stock,30.920000076293945
DELL,NYSE,NYSE:DELL,Dell Technologies Inc. Class C Common Stock ,395.5700073242187
VPG,NYSE,NYSE:VPG,Vishay Precision Group Inc. Common Stock,139.52000427246094
AGL,NYSE,NYSE:AGL,agilon health inc. Common Stock,112.91000366210938
CORT,NASDAQ,NASDAQ:CORT,Corcept Therapeutics Incorporated Common Stock,82.91000366210938
HPE,NYSE,NYSE:HPE,Hewlett Packard Enterprise Company Common Stock,48.16999816894531
CBRL,NASDAQ,NASDAQ:CBRL,Cracker Barrel Old Country Store Inc Common Stock,46.689998626708984
STUB,NYSE,NYSE:STUB,StubHub Holdings Inc. Class A Common Stock,11.460000038146973
GENI,NYSE,NYSE:GENI,Genius Sports Limited Ordinary Shares,6.849999904632568
ARCB,NASDAQ,NASDAQ:ARCB,ArcBest Corporation Common Stock,173.0399932861328
SNOW,NYSE,NYSE:SNOW,Snowflake Inc. Common Stock,232.77999877929688
ATEX,NASDAQ,NASDAQ:ATEX,Anterix Inc. Common Stock,82.5
WGS,NASDAQ,NASDAQ:WGS,GeneDx Holdings Corp. Class A Common Stock,59.91999816894531
SEDG,NASDAQ,NASDAQ:SEDG,SolarEdge Technologies Inc. Common Stock,60.79999923706055
SLS,NASDAQ,NASDAQ:SLS,SELLAS Life Sciences Group Inc. Common Stock,7.829999923706055
ACMR,NASDAQ,NASDAQ:ACMR,ACM Research Inc. Class A Common Stock,93.9499969482422
BB,NYSE,NYSE:BB,BlackBerry Limited Common Stock,9.1899995803833
OKTA,NASDAQ,NASDAQ:OKTA,Okta Inc. Class A Common Stock,116.29000091552734
OUST,NASDAQ,NASDAQ:OUST,Ouster Inc. Common Stock,39.79999923706055
ENPH,NASDAQ,NASDAQ:ENPH,Enphase Energy Inc. Common Stock,54.59000015258789
PENG,NASDAQ,NASDAQ:PENG,Penguin Solutions Inc. Common Stock,64.12999725341797
TE,NYSE,NYSE:TE,T1 Energy Inc. Common Stock,8.5
HAE,NYSE,NYSE:HAE,Haemonetics Corporation Common Stock,78.19999694824219
CLOV,NASDAQ,NASDAQ:CLOV,Clover Health Investments Corp. Class A Common Stock,4.730000019073486
KSS,NYSE,NYSE:KSS,Kohl's Corporation Common Stock,18.059999465942383
RXO,NYSE,NYSE:RXO,RXO Inc. Common Stock,28.350000381469727
VOYG,NYSE,NYSE:VOYG,Voyager Technologies Inc. Class A Common Stock,41.150001525878906
